title,discount,price,extra_info_1,extra_info_2,extra_info_3,course_subject,likes
INNER CIRCLE : 풀스택 개발 Course,내일배움카드,가격 정보 없음,,,,프로그래밍,10+
"처음 시작하는 AWS : AWS 입문부터 운영, 서비스 개발까지",68%,"125,500원",,약 25시간,사전지식 필요,DevOps/Infra,320+
대용량 트래픽 처리를 위한 데이터베이스 첫 걸음: 100만 유저를 견디는 서버 구축 가이드,55%,"198,500원",,약 38시간,사전지식 필요,백엔드 개발,740+
코딩로봇으로 시작하는 AI 코딩 기초,72%,"138,500원",,약 16시간,누구나,컴퓨터 공학/SW 엔지니어링,30+
React Native 앱 개발의 모든 것 : 4가지 프로젝트로 마스터하는 웹뷰부터 앱 개발까지,66%,"139,500원",,약 28시간,사전지식 필요,모바일 앱 개발,310+
실무 장애 대응 프로세스로 끝내는 장애율 0% 서비스 운영의 모든 것,62%,"206,500원",,약 35시간,직무경험 필요,DevOps/Infra,300+
김민태의 프론트엔드 Pre Academy : 처음 시작하는 프론트엔드,62%,"112,500원",,약 23시간,누구나,프론트엔드 개발,190+
시그니처 프론트엔드 : 웹 개발부터 웹앱까지 프론트엔드의 모든 것,69%,"199,000원",,약 242시간,누구나,프론트엔드 개발,950+
올인원 패키지 : 프론트엔드 최적화 완전 정복 (React & Next.js),55%,"148,000원",,약 39시간,직무경험 필요,프론트엔드 개발,540+
처음 시작하는 Docker & Kubernetes : 컨테이너 환경을 위한 필수 입문 강의,67%,"131,000원",,약 56시간,사전지식 필요,DevOps/Infra,440+
네카라쿠배 취업 끝장내는 파이썬 코딩테스트 마스터,70%,"131,500원",,약 83시간,사전지식 필요,컴퓨터 공학/SW 엔지니어링,730+
Spring 환경에 바로 적용하는 테스트의 모든 것 초격차 패키지 Online,42%,"257,500원",,약 47시간,직무경험 필요,백엔드 개발,510+
Flutter 실전 프로젝트 : 상태관리와 확장 가능한 앱 아키텍처 with BLoC & Riverpod,최저가,"200,000원~",,약 56시간,직무경험 필요,모바일 앱 개발,410+
"MSA 환경에서 REST API, gRPC, GraphQL로 마스터하는 백엔드 API 개발 초격차 패키지 Online.",66%,"185,000원",,약 43시간,직무경험 필요,백엔드 개발,390+
"ChatGPT 시대, 개발자로 살아남기 위한 AI 페어 프로그래밍",51%,"192,100원",,약 12시간,사전지식 필요,컴퓨터 공학/SW 엔지니어링,740+
고성능 검색 엔진 구축으로 한 번에 끝내는 Elasticsearch 초격차 패키지 Online.,58%,"226,500원",,약 49시간,직무경험 필요,백엔드 개발,520+
The RED : 성능의 神: 궁극의 성능 튜닝과 트러블슈팅 by 이상민,57%,"246,000원",,약 11시간,직무경험 필요,백엔드 개발,420+
10개 프로젝트로 시작하는 백엔드 웹개발 : 신입 개발자 취업 집중반 (w. Java/Spring Boot),64%,"142,000원",,약 122시간,사전지식 필요,백엔드 개발,870+
"76가지 DevOps 모의 실무 예제: AWS 기반 인프라 구축부터 재해복구, 보안까지",66%,"284,500원",,,,DevOps/Infra,600+
실무까지 한 번에 끝내는 DevOps를 위한 Docker & Kubernetes feat. aws EKS 초격차 패키지 Online.,67%,"263,000원",,약 114시간,누구나,DevOps/Infra,"1,480+"
내 생에 마지막 JavaScript : 기초 문법부터 실무 웹 개발까지 한 번에 끝내기 초격차 패키지 Online.,62%,"178,000원",,약 82시간,사전지식 필요,프론트엔드 개발,570+
Android 의존성 주입 완전정복 : Hilt로 확장성 높은 앱 완성하기 (feat. 클린아키텍처),65%,"186,500원",,약 25시간,사전지식 필요,모바일 앱 개발,470+
초격차 패키지 : 한번에 끝내는 Kafka Ecosystem,63%,"252,500원",,약 52시간,사전지식 필요,백엔드 개발,500+
"파이썬으로 개발하는 빅데이터 기반 맛집 추천 서비스 (ft. Django, FastAPI) 초격차 패키지 Online.",45%,"219,500원",,약 69시간,누구나,백엔드 개발,720+
한 번에 끝내는 유니티&C# 게임 개발 초격차 패키지,70%,"207,500원",,약 152시간,사전지식 필요,게임 개발,"1,220+"
더 쉽고 편하게 만드는 3D 인터랙티브 웹 개발 : 구현부터 최적화까지 (feat. R3F & Three.js),67%,"172,000원",,약 44시간,직무경험 필요,프론트엔드 개발,670+
9개 프로젝트로 경험하는 대용량 트래픽 & 데이터 처리 초격차 패키지 Online.,70%,"239,500원",,약 107시간,직무경험 필요,백엔드 개발,"2,100+"
백엔드 개발자를 위한 Kubernetes: 클라우드 네이티브 프로그래밍 초격차 패키지 Online.,66%,"203,500원",,약 37시간,직무경험 필요,백엔드 개발,280+
마이크로 프론트엔드(MFA:Micro Frontend Architecture) : 대규모 서비스 설계부터 운영까지 (feat.모노레포&모듈페더레이션),67%,"230,000원",,약 38시간,직무경험 필요,프론트엔드 개발,500+
7개 프로젝트로 완벽 대비하는 Next.js 실무 (ft. 성능 개선) 초격차 패키지 Online,55%,"230,000원",,약 115시간,사전지식 필요,프론트엔드 개발,500+
RPG 전투 플레이 프로젝트로 배우는 언리얼 엔진 5 게임 개발,66%,"201,500원",,약 20시간,사전지식 필요,프로그래밍,350+
현실 세상의 컴퓨터공학 지식 with 30가지 실무 시나리오 초격차 패키지 Online.,76%,"189,500원",,약 94시간,누구나,컴퓨터 공학/SW 엔지니어링,790+
네카라쿠배 5개 앱으로 완성하는 iOS 앱 개발 초격차 패키지 Online.,65%,"209,500원",,약 73시간,누구나,모바일 앱 개발,990+
고성능 대규모 프론트엔드 10개 프로젝트 : 최적화부터 유지보수까지 한 번에 끝내는 초격차 패키지 Online.,62%,"200,000원",,약 105시간,직무경험 필요,프론트엔드 개발,"1,290+"
백엔드 실전 역량 강화를 위한 5개 도메인 프로젝트 (Kotlin/Spring) 초격차 패키지 Online.,66%,"219,000원",,약 70시간,직무경험 필요,백엔드 개발,410+
100가지 시나리오로 학습하는 프론트엔드 : 5년 이상 경험을 초압축한 실전 문제 해결 패키지,67%,"221,500원",,약 86시간,누구나,프론트엔드 개발,510+
반응형 웹 완전 정복 : 나만의 웹사이트 제작으로 포트폴리오 완성,내일배움카드,가격 정보 없음,,,,프론트엔드 개발,30+
"한번에 끝내는 앱개발 : 기획부터 개발, 배포까지",내일배움카드,가격 정보 없음,,,,모바일 앱 개발,40+
백엔드 기초반 : Java부터 Spring Boot까지,내일배움카드,가격 정보 없음,,,,백엔드 개발,10+
UPSKILL : 상위 1% 개발자들의 생산성 향상을 위한 Jetpack Compose,60%,"99,000원",,약 21시간,직무경험 필요,모바일 앱 개발,170+
간편결제 프로젝트로 한 번에 끝내는 실전 MSA 초격차 패키지 Online.,67%,"258,500원",,약 67시간,직무경험 필요,백엔드 개발,860+
Spring Webflux 완전 정복 : 코루틴부터 리액티브 MSA 프로젝트까지,64%,"170,500원",,약 54시간,직무경험 필요,백엔드 개발,340+
15개 프로젝트로 실무까지 끝내는 Dart & Flutter 앱 개발,68%,"167,000원",,약 89시간,누구나,프로그래밍,"2,370+"
UPSKILL : Javascript 코딩테스트 131개 예제 & CS지식으로 끝내기,63%,"131,000원",,약 28시간,사전지식 필요,컴퓨터 공학/SW 엔지니어링,430+
한 번에 끝내는 Java/Spring 웹 개발 Essential,65%,"139,000원",,약 50시간,사전지식 필요,백엔드 개발,360+
10개 프로젝트로 끝내는 Node.js의 모든 것(Express & Nest.js) 초격차 패키지 Online.,74%,"154,500원",,약 93시간,누구나,백엔드 개발,690+
실무 핵심 능력 UPSKILL : 3단계 시나리오 기반 대규모 이커머스 프로젝트 feat. 대용량 데이터 처리,52%,"143,000원",,약 29시간,직무경험 필요,백엔드 개발,60+
핵심유형 20개로 한 번에 끝내는 알고리즘 코딩테스트 with Java 초격차 패키지 Online.,66%,"134,000원",,약 78시간,사전지식 필요,컴퓨터 공학/SW 엔지니어링,700+
Remix 핵심 정복: 편리하고 더 빠른 웹 개발 feat. 성능최적화,66%,"153,000원",,약 16시간,사전지식 필요,프론트엔드 개발,20+
스프링 부트의 정석 : 이번에도 남궁성과 끝까지 간다,65%,"205,000원",,약 19시간,사전지식 필요,백엔드 개발,270+
내 인생 처음이자 마지막 자바 & 객체지향 프로그래밍,50%,"99,000원",,약 67시간,누구나,백엔드 개발,210+
시그니처 백엔드 Path 초격차 패키지 Online.,69%,"227,000원",,약 194시간,누구나,백엔드 개발,"1,730+"
누구나 쉽게 시작하는 3D 메타버스 콘텐츠 만들기,70%,"113,000원",,약 19시간,누구나,블록체인 개발,20+
차근차근 따라하는 수익형 웹 사이트 만들기,27%,"109,000원",,약 8시간,누구나,컴퓨터 공학/SW 엔지니어링,180+
글로벌 DeFi 팀과 DeFi Deep Dive,72%,"217,500원",,약 23시간,사전지식 필요,블록체인 개발,170+
이더리움(EVM) 기반 블록체인 개발 A to Z (feat. Solidity & Go) 초격차 패키지 Online.,68%,"316,500원",,약 124시간,누구나,블록체인 개발,260+
React Native를 활용한 빠르고 완성도 높은 앱 개발 with 21개 프로젝트 초격차 패키지 Online.,73%,"191,000원",,약 106시간,사전지식 필요,모바일 앱 개발,830+
35개 프로젝트로 배우는 Android 앱 개발 feat. Jetpack Compose 초격차 패키지 Online.,64%,"190,500원",,약 109시간,누구나,모바일 앱 개발,740+
한 번에 끝내는 블록체인 개발 A to Z Online.,64%,"386,000원",,약 122시간,누구나,블록체인 개발,360+
The RED : 현실 세상의 TDD 실전편 : 설계 확장성을 위한 코드 개선 방법,58%,"190,000원",,약 12시간,직무경험 필요,백엔드 개발,60+
초격차 패키지 : 한 번에 끝내는 CI/CD의 모든 것: Docker부터 GitOps까지,66%,"250,000원",,약 71시간,사전지식 필요,DevOps/Infra,740+
실무 초밀착 리눅스: 클라우드 환경 운영부터 성능분석까지,51%,"172,500원",,약 27시간,누구나,DevOps/Infra,280+
왕초보를 위한 한 번에 끝내는 iOS 앱 개발 바이블 초격차 패키지 Online.,55%,"222,500원",,약 74시간,누구나,모바일 앱 개발,470+
김민태의 프론트엔드 아카데미 : 제 3강 시나리오로 배우는 프론트엔드 실무,70%,"188,500원",,약 14시간,직무경험 필요,프론트엔드 개발,180+
Kubernetes 자격증 마스터 클래스 : CKA/CKAD/CKS,52%,"144,000원",,약 37시간,사전지식 필요,DevOps/Infra,240+
The RED : 효과적인 비동기처리를 위한 Kotlin Coroutines & Flow 마스터 by 김용욱,59%,"252,500원",,약 7시간,직무경험 필요,모바일 앱 개발,170+
남궁성의 데브캠프 | Java1타 강사와 함께하는 오프라인 백엔드 부트캠프,내일배움카드,가격 정보 없음,,,,프로그래밍,10+
Android 앱 개발의 정석 with Kotlin 올인원 패키지 Online.,51%,"240,500원",,약 59시간,누구나,모바일 앱 개발,200+
김민태의 데브캠프 | 배민 기술이사의 프론트엔드 취업 부트캠프,내일배움카드,가격 정보 없음,,,,프로그래밍,10+
스프링의 정석 : 남궁성과 끝까지 간다,57%,"311,500원",,약 40시간,사전지식 필요,백엔드 개발,340+
김민태의 프론트엔드 아카데미 : 제 2강 만들어보며 이해하는 React & Redux,67%,"240,500원",,약 6시간,사전지식 필요,프론트엔드 개발,180+
The RED : 슈퍼앱 운영을 위한 확장성 높은 앱 아키텍처 구축 by 노수진,60%,"305,500원",,약 11시간,직무경험 필요,모바일 앱 개발,150+
박은종의 객체지향 설계를 위한 디자인패턴 with 자바,39%,"197,500원",,약 12시간,직무경험 필요,백엔드 개발,180+
The RED : 백엔드 에센셜 : 대용량 서비스를 위한 아키텍처 with Redis by 강대명,37%,"309,500원",,약 12시간,직무경험 필요,백엔드 개발,160+
"The RED : 백발의 개발자를 꿈꾸며 : 코드리뷰, 레거시와 TDD by 백명석, 최범균",41%,"297,500원",,약 7시간,직무경험 필요,컴퓨터 공학/SW 엔지니어링,40+
The RED : 견고한 UI 설계를 위한 마크업 가이드 by 정찬명,27%,"272,000원",,약 6시간,사전지식 필요,프론트엔드 개발,60+
The RED : 비즈니스 성공을 위한 Java/Spring 기반 서비스 개발과 MSA 구축 by 이희창,54%,"287,500원",,약 10시간,직무경험 필요,DevOps/Infra,330+
한 번에 끝내는 프론트엔드 개발 초격차 패키지 Online.,35%,"256,500원",,약 121시간,누구나,프론트엔드 개발,440+
김민태의 프론트엔드 아카데미 : 제 1강 JavaScript & TypeScript Essential,23%,"230,500원",,약 21시간,사전지식 필요,프론트엔드 개발,280+
The RED : 이규원의 현실 세상의 TDD : 안정감을 주는 코드 작성 방법,27%,"261,500원",,약 10시간,직무경험 필요,백엔드 개발,50+
The RED : 김민태의 React와 Redux로 구현하는 아키텍처와 리스크관리,30%,"250,500원",,약 7시간,직무경험 필요,프론트엔드 개발,30+
The RED : 프론트엔드 Back to the Basics : 지속 가능한 코드작성과 성능 향상법 by 김태곤,8%,"236,500원",,약 7시간,직무경험 필요,프론트엔드 개발,20+
네트워크와 보안 핵심 요약 올인원 패키지 Online.,31%,"205,500원",,약 25시간,누구나,컴퓨터 공학/SW 엔지니어링,230+
리눅스 실전 정복 올인원 패키지 Online.,15%,"209,500원",,약 37시간,누구나,DevOps/Infra,340+
유니티 게임 포트폴리오 완성 올인원 패키지 Online.,63%,"238,500원",,약 49시간,사전지식 필요,게임 개발,260+
C++ 실력 완성 올인원 패키지 Online.,44%,"239,500원",,약 13시간,누구나,게임 개발,430+
